pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,is_borderline_massive,size_class,temp_zone,P_HABITABLE,P_ESI,P_TYPE,P_HABZONE_OPT,P_HABZONE_CON,hwc_habitable_label
Kepler-1358 b,Kepler-1358,Transit,2016,7.06317341,1.12,1.46,827.0,5181.0,0.79,0.82,546.998,False,Earth-sized,Too Hot,0.0,0.30731392,Terran,0.0,0.0,Not habitable
HD 360 b,HD 360,Radial Velocity,2021,273.1,14.0,238.37130525,765.69,4770.0,10.86,1.69,111.542,False,Giant,Too Hot,0.0,0.08225375,Jovian,0.0,0.0,Not habitable
TOI-4030 b,TOI-4030,Transit,2026,2.50900199461,5.8462559,28.8,1384.0,5640.37,0.991737,0.98,571.615,False,Sub-Neptune/Neptune,Too Hot,,,,,,
Kepler-741 b,Kepler-741,Transit,2016,7.03902374,2.97,9.11,1051.0,6129.0,1.24,1.16,1661.87,False,Sub-Neptune/Neptune,Too Hot,0.0,0.21387657,Neptunian,0.0,0.0,Not habitable
Kepler-1299 b,Kepler-1299,Transit,2016,19.9400874,2.98,9.17,588.0,5609.0,0.91,0.94,1404.94,False,Sub-Neptune/Neptune,Too Hot,0.0,0.23916407,Neptunian,0.0,0.0,Not habitable
Kepler-1806 b,Kepler-1806,Transit,2021,9.033320427,2.35560189,6.15,729.0,5311.0,0.788,0.884,978.066,False,Sub-Neptune/Neptune,Too Hot,0.0,0.26047444,Superterran,0.0,0.0,Not habitable
TOI-375 c,TOI-375,Radial Velocity,2026,115.5,13.4,669.34662514,596.0,5259.9,2.9,1.441,396.213,False,Giant,Too Hot,,,,,,
Kepler-1048 b,Kepler-1048,Transit,2016,6.92101021,1.61,3.22,619.0,4651.0,0.7,0.75,556.006,False,Super-Earth,Too Hot,0.0,0.28601661,Superterran,0.0,0.0,Not habitable
Kepler-749 b,Kepler-749,Transit,2016,17.31716585,3.1,9.8,454.0,5009.0,0.75,0.79,721.027,False,Sub-Neptune/Neptune,Too Hot,0.0,0.24737865,Neptunian,0.0,0.0,Not habitable
HD 102329 b,HD 102329,Radial Velocity,2011,778.09998,12.6,2593.4928,532.95,4745.0,9.82,3.21,217.107,False,Giant,Too Hot,0.0,0.21121508,Jovian,0.0,0.0,Not habitable
TOI-1194 b,TOI-1194,Transit,2023,2.3106446,8.71664516,120.0,1264.29,5394.0,0.9608,0.9835,149.667,False,Giant,Too Hot,0.0,0.099928416,Jovian,0.0,0.0,Not habitable
Barnard d,Barnard's star,Radial Velocity,2025,2.3402,0.694,0.263,483.0,3195.0,0.185,0.162,1.82655,False,Earth-sized,Too Hot,,,,,,
Kepler-1951 b,Kepler-1951,Transit,2021,20.65780067,2.32107188,6.0,728.0,5468.0,1.306,0.923,1277.32,False,Sub-Neptune/Neptune,Too Hot,0.0,0.24748113,Superterran,0.0,0.0,Not habitable
HIP 114933 b,HIP 114933,Radial Velocity,2021,1481.6,13.4,616.58710958,316.81,4823.0,5.27,1.39,101.766,False,Giant,Temperate,0.0,0.36126622,Jovian,0.0,0.0,Not habitable
Kepler-1305 b,Kepler-1305,Transit,2016,13.5630972,1.88,4.19,733.0,5701.0,0.96,0.97,1575.23,False,Super-Earth,Too Hot,0.0,0.27417976,Superterran,0.0,0.0,Not habitable
