pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,Microlensing,2008,,13.5,540.3082919,34.0,,,0.69,6890.0
UZ For b,UZ For,Eclipse Timing Variations,2011,5840.0,,2002.2,,5286.9,,0.7,239.60387482
TWA 7 b,TWA 7,Imaging,2025,,12.7,108.06165838,316.0,3509.0,0.917173,0.46,33.9958
Kepler-1222 b,Kepler-1222,Transit,2016,1.916944254,0.79,0.418,1246.0,5239.0,0.8,0.84,415.218
Kepler-463 b,Kepler-463,Transit,2016,8.981016833,3.05,9.53,880.0,5661.0,0.9,0.87,394.804
TOI-2337 b,TOI-2337,Transit,2022,2.99432,10.08808263,508.5254512,1272.46,4780.0,3.22,1.325,536.046
HD 202206 c,HD 202206,Radial Velocity,2004,1299.22,13.1,982.08977763,183.35,5764.23,1.04,1.06,45.9665
MOA-2010-BLG-477L b,MOA-2010-BLG-477L,Microlensing,2012,,13.6,480.0,,5950.0,,0.67,2300.0
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,Microlensing,2018,,14.0,240.0,,,,0.045,7490.0
Kepler-566 b,Kepler-566,Transit,2016,18.42794624,2.15,5.27,526.0,5132.0,0.79,0.83,564.277
Kepler-1224 b,Kepler-1224,Transit,2016,13.32351601,1.33,2.33,872.0,6155.0,1.22,1.18,559.598
WASP-149 b,WASP-149,Transit,2025,1.332813,15.24421375,314.96795134,1855.0,5750.0,1.08,1.05,211.73
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,Microlensing,2022,,9.05,60.38739733,,,,0.3,6600.0
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,Microlensing,2023,,13.4,575.26941667,,,,0.7,6710.0
WASP-60 b,WASP-60,Transit,2012,4.305,9.86392,174.8065,1479.0,5900.0,1.17,1.19,431.052
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,Microlensing,2021,,12.6,2447.2787339,,,,0.09,7010.0
TOI-5916 b,TOI-5916,Transit,2026,2.36712341,11.8,219.0,716.0,3541.0,0.487,0.518,199.724
OGLE-2017-BLG-1237L b,OGLE-2017-BLG-1237L,Microlensing,2024,,13.0,1207.7479466,,,,0.46,6030.0
OGLE-2017-BLG-0640L b,OGLE-2017-BLG-0640L,Microlensing,2024,,13.5,514.88201934,,,,0.32,6630.0
MXB 1658-298 b,MXB 1658-298,Eclipse Timing Variations,2017,760.0,12.0,7532.571,,,,1.98,
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,Microlensing,2020,,2.67,7.59,,,,1.14,3380.0
Kepler-619 c,Kepler-619,Transit,2016,1.208465026,1.69,3.5,1767.0,5980.0,1.11,1.09,900.678
Kepler-186 b,Kepler-186,Transit,2014,3.8867907,1.07,1.24,571.0,3788.0,0.472,0.478,177.594
K2-183 d,K2-183,Transit,2018,22.620344,2.3,5.9,615.0,5482.0,0.87,0.942219,329.041
Kepler-1677 b,Kepler-1677,Transit,2020,22.064,2.70216183,7.76,712.0,6013.72,1.24959,1.11,735.369
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,Microlensing,2022,,10.1,73.10053361,,,,0.1,7020.0
KOI-55 c,KOI-55,Orbital Brightness Modulation,2011,0.342887,0.867,0.655,6910.74,27730.0,0.203,0.496,1231.02
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,Microlensing,2024,,2.7,7.75,,,,0.069,7140.0
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,Microlensing,2023,,12.1,6038.739733,,,,0.21,3090.0
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,Microlensing,2016,,14.3,150.0,,,,0.29,6700.0
TOI-603 b,TOI-603,Transit,2026,16.179846,7.37,33.0,899.0,6027.0,1.477,1.24,205.924
Kepler-1620 b,Kepler-1620,Transit,2016,101.951829,1.61,3.22,428.0,6157.0,1.23,1.15,895.069
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,Microlensing,2025,,13.7,381.3940884,,,,0.28,7300.0
Kepler-85 e,Kepler-85,Transit,2014,25.216751,1.27,0.6,559.0,5436.0,0.893,0.947,765.025
TOI-2128 b,TOI-2128,Transit,2024,16.34136,2.08874836,4.5,780.53,5968.0,1.1174,1.0251,36.578
